国家,非统计项,国家代码,所在洲,国家收入等级,人口,女性人口,千人生育率,PPP人均国民收入,美元人均国民收入,基尼系数,贫困人口比例,城镇人口比例,初等教育人口,五岁以下死亡人数,识字率,失业率,服务业就业比例,农业就业比例,工业就业比例,出生预期寿命,通电率,艾滋病感染率
,x,,,,,,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,,,,,,,
,x,Country Code,,Income_Group,2020,2020,2019,2020,2020,2017,2018,2020,2019,2020,2018,2020,2019,2019,2019,2019,2019,2020
阿鲁巴,,ABW,NA,高收入国家,106766,56124,1.901,,,,,43.697,,,97.8074188232422,,,,,76.293,100,
,x,AFE,,,677243299,341090736,4.34943292875838,3591.37255762039,1406.28900683756,,,36.7833061490919,,1273887,,7.56318685370141,31.3024984449517,59.2532370480414,9.44448264787993,64.0051974732229,43.6406611120552,4.99678543905486
阿富汗,,AFG,AS,低收入国家,38928341,18952076,4.321,2100,500,,,26.026,6777785,69714,,11.710000038147,38.9599990844727,42.5,18.5499992370605,64.833,97.7,0.1
,x,AFW,,,458803476,227985427,5.04414441407213,4097.57909133569,1654.42565980847,,,47.8486254352506,,1516081,,6.77491378680166,45.4880431596183,41.5371219522733,12.9762571711232,58.1157227231324,51.3414214713772,1.41588705547703
安哥拉,,AGO,AF,中低等收入国家,32866268,16605398,5.442,5900,2140,,32.3,66.825,,90589,,8.33300018310547,42.4700012207031,50.7299995422363,6.80000019073486,61.147,45.6703147888184,1.8
阿尔巴尼亚,,ALB,EU,中高等收入国家,2837743,1393417,1.597,13210,5210,33.2,,62.112,167104,327,98.1411514282227,13.3290004730225,43.4300003051758,36.4199981689453,20.1499996185303,78.573,100,0.1
安道尔共和国,,AND,EU,高收入国家,77265,,,,,,,87.916,4322,1,,,,,,,100,
阿拉伯联盟国家,x,ARB,,,436080728,210055400,3.18715713514644,14094.0253987873,5932.74186976214,,,59.4717656085527,50097480,354541,72.8690872192383,11.4873210354051,57.0200347399732,17.9765657861157,25.0055282504284,71.9897093670282,89.5122823188562,0.115018462162161
阿拉伯联合酋长国,,ARE,AS,高收入国家,9890400,3054051,1.387,66690,39410,,,87.048,553678,658,,3.18799996376038,64.3899993896484,1.38999998569489,34.2200012207031,77.972,100,0.1
阿根廷,,ARG,SA,中高等收入国家,45376763,23239321,2.247,20230,9070,41.1,32,92.111,4800419,6436,99.0038681030273,11.460000038147,78.0999984741211,0.0599999986588955,21.8400001525879,76.667,100,0.4
亚美尼亚,,ARM,AS,中高等收入国家,2963234,1569487,1.758,13110,4220,33.6,,63.313,154409,437,,21.2059993743896,51.2000007629395,24.0499992370605,24.75,75.087,100,0.2
美属萨摩亚,,ASM,OC,中高等收入国家,55197,,,,,,,87.153,,,,,,,,,,
安提瓜和巴布达,,ATG,NA,高收入国家,97928,50659,1.987,17910,13750,,,24.433,,9,,,,,,77.016,100,
澳大利亚,,AUS,OC,高收入国家,25687041,12895213,1.657,52240,53690,,,86.241,2263884,1176,,6.46000003814697,78.379997253418,2.55999994277954,19.0599994659424,82.9,100,0.1
奥地利,,AUT,EU,高收入国家,8917205,4521483,1.46,55620,48350,29.7,13.3,58.748,342064,322,,5.3600001335144,70.9899978637695,3.66000008583069,25.3600006103516,81.7926829268293,100,
阿塞拜疆,,AZE,AS,中高等收入国家,10093121,5051462,1.8,14390,4480,,,56.397,645392,3103,,6.46299982070923,49.2200012207031,36,14.789999961853,73.005,100,0.1
布隆迪,,BDI,AF,低收入国家,11890781,5990917,5.321,780,230,,,13.708,2212532,23864,,1.70700001716614,10.4499998092651,86.2099990844727,3.34999990463257,61.584,11.0647974014282,1
比利时,,BEL,EU,高收入国家,11555997,5828325,1.57,53600,45750,27.4,14.8,98.079,823109,526,,5.55000019073486,78.2399978637695,0.920000016689301,20.8400001525879,81.7463414634146,100,
贝宁,,BEN,AF,中低等收入国家,12123198,6068950,4.767,3470,1280,,,48.415,2180896,35910,42.3624000549316,1.58399999141693,43.4199981689453,38.2700004577637,18.3099994659424,61.771,40.3187408447266,0.9
布基纳法索,,BFA,AF,低收入国家,20903278,10458565,5.109,2110,770,,41.4,30.607,3233784,63887,39.3458518981934,4.89499998092651,48.6399993896484,26.2099990844727,25.1599998474121,61.577,18.3791522979736,0.7
孟加拉国,,BGD,AS,中低等收入国家,164689383,81430275,2.011,5390,2030,,,38.177,,84346,73.9122009277344,5.41300010681152,40.3800010681152,38.2999992370605,21.3199996948242,72.591,92.2,
保加利亚,,BGR,EU,中高等收入国家,6934015,3566901,1.58,24150,9630,40.4,22.6,75.686,256857,380,,5.11999988555908,63.3600006103516,6.61999988555908,30.0200004577637,74.9146341463415,100,
